gene,alias
ADGRG4,GPR112|PGR17|RP1-299I16
ADGRG5,GPR114|PGR27
ADGRG6,APG1|DREG|GPR126|LCCS9|PR126|PS1TP2|VIGR
ADGRG7,GPR128
ADGRL1,CIRL1|CL1|LEC2|LPHN1
ADGRL2,CIRL2|CL2|LEC1|LPHH1|LPHN2
ADGRL3,CIRL3|CL3|LEC3|LPHN3
ADGRL3-AS1,LPHN3-AS1
ADGRL4,ELTD1|ETL|KPG_003
ADGRV1,FEB4|GPR98|MASS1|USH2B|USH2C|VLGR1|VLGR1b
ADH1A,ADH1
ADH1B,ADH2|HEL-S-117
ADH1C,ADH3
ADH4,ADH-2|HEL-S-4
ADH5,ADH-3|ADHX|FALDH|FDH|GSH-FDH|GSNOR|HEL-S-60p
ADH5P4,ADH5B|RCADH5|bA707M13.2
ADH6,ADH-5
ADH7,ADH4
ADHD3,LOAS
ADHFE1,ADH8|HMFT2263|HOT
ADI1,APL1|ARD|Fe-ARD|HMFT1638|MTCBP1|Ni-ARD|SIPL|mtnD
ADIG,SMAF1
ADIPOQ,ACDC|ACRP30|ADIPQTL1|ADPN|APM-1|APM1|GBP28
ADIPOR1,ACDCR1|CGI-45|CGI45|PAQR1|TESBP1A
ADIPOR2,ACDCR2|PAQR2
ADIPQTL2,CAQ5
ADIPQTL3,CAQ14
ADIRF,AFRO|APM2|C10orf116|apM-2
ADK,AK
ADM,AM|PAMP
ADM2,AM2|dJ579N16.4
ADM5,AM5|C19orf76
ADNP,ADNP1|HVDAS|MRD28
ADNP2,ZNF508
ADO,C10orf22
ADORA1,RDC7
ADORA2A,A2aR|ADORA2|RDC8
ADORA2A-AS1,C22orf45
ADORA2B,ADORA2
ADORA2BP1,ADORA2BP
ADORA3,A3AR
ADPGK,2610017G09Rik|ADP-GK
ADPRH,ARH1
ADPRHL1,ARH2
ADPRHL2,ARH3
ADPRM,C17orf48|MDS006|NBLA03831
ADRA1A,ADRA1C|ADRA1L1|ALPHA1AAR
ADRA1B,ADRA1|ALPHA1BAR
ADRA1D,ADRA1|ADRA1A|ADRA1R|ALPHA1|DAR|dJ779E11.2
ADRA2A,ADRA2|ADRA2R|ADRAR|ALPHA2AAR|ZNF32
